miRNA	A10_SM385B	A11_SM385B	A12_SM385B	A13_SM385B	A14_SM385B	A1_SM385B	A2_SM385B	A3_SM385B	A4_SM385B	A5_SM385B	A6_SM385B	A7_SM385B	A8_SM385B	A9_SM385B	B10_SM385B	B11_SM385B	B12_SM385B	B13_SM385B	B1_SM385B	B2_SM385B	B3_SM385B	B4_SM385B	B5_SM385B	B6_SM385B	B7_SM385B	B8_SM385B	B9_SM385B	C1_SM385B	C2_SM385B	C3_SM385B	C4_SM385B	C5_SM385B	C6_SM385B
hsa-miR-3119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3120-3p	61	92	64	6	9	9	58	12	17	6	32	14	4	18	22	62	5	2	12	8	2	18	7	166	5	120	172	13	4	13	28	7	1
hsa-miR-3120-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
hsa-miR-3121-3p	0	0	0	0	0	0	6	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	18	0	0	0	0	0	3
hsa-miR-3121-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3124-3p	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3124-5p	28	3	3	0	10	0	0	9	5	3	0	0	4	0	2	0	0	1	0	29	5	0	0	0	0	17	52	0	3	0	2	3	2
hsa-miR-3125	0	0	0	0	0	0	8	0	1	1	0	0	1	0	0	0	0	0	0	30	2	4	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-3126-3p	3	0	0	0	0	0	10	0	0	0	6	6	0	10	0	0	0	0	0	0	0	10	4	26	0	21	27	0	0	0	0	0	0
hsa-miR-3126-5p	0	0	0	0	0	0	2	0	3	0	6	0	0	8	0	25	1	0	1	0	0	0	0	0	6	7	0	0	0	0	3	0	0
hsa-miR-3127-3p	23	19	8	3	4	1	20	9	1	3	18	6	0	17	8	0	16	10	12	0	1	11	0	1	2	33	31	0	0	0	0	0	4
hsa-miR-3127-5p	15	8	2	6	1	0	3	0	8	0	5	19	1	48	21	0	19	9	1	6	4	12	14	53	3	17	28	0	12	8	0	1	1
hsa-miR-3128	24	9	0	1	0	1	10	0	0	0	1	0	1	0	4	12	0	2	0	0	6	10	0	0	0	1	16	0	6	2	0	0	2
hsa-miR-3129-3p	30	2	19	0	3	0	1	8	2	0	8	0	1	39	0	0	0	0	8	0	7	3	8	0	1	24	17	0	3	0	3	0	0
hsa-miR-3129-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
hsa-miR-3130-3p	0	10	0	2	0	2	0	5	0	0	0	13	0	39	0	7	0	0	1	0	4	0	9	0	4	44	4	0	0	0	10	4	1
hsa-miR-3130-5p	8	2	2	5	2	0	4	0	2	1	0	0	34	0	1	13	0	0	4	1	0	3	5	0	0	0	0	0	0	0	0	0	0
hsa-miR-3131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3132	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	1
hsa-miR-3133	2	0	0	1	3	0	3	1	3	2	5	0	0	1	7	0	20	0	0	0	2	3	0	11	0	1	22	7	0	0	0	0	0
hsa-miR-3134	2	1	0	0	0	0	11	0	0	0	0	6	27	0	6	0	0	0	3	0	4	2	17	0	2	8	1	0	5	11	11	0	2
hsa-miR-3135a	30	3	0	5	0	1	8	0	3	7	14	1	22	19	0	0	6	0	0	2	4	9	0	25	0	18	0	4	10	4	0	0	1
hsa-miR-3135b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	5	0	0	1
hsa-miR-3136-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3136-5p	3	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	1	16	0	0	2	0	0	0
hsa-miR-3137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
hsa-miR-3138	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3139	16	1	0	10	7	1	13	1	2	2	16	9	1	10	2	23	0	5	0	0	0	4	0	0	1	1	15	0	0	7	15	0	0
hsa-miR-3140-3p	0	18	1	7	5	0	6	6	0	1	0	0	9	0	0	0	9	0	2	0	1	0	0	0	0	12	9	0	0	0	0	0	0
hsa-miR-3140-5p	0	0	0	0	0	1	0	0	2	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	8	1	0	0	0	0	0	0
hsa-miR-3141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3143	0	0	0	0	3	3	3	0	1	0	5	4	0	0	1	0	0	0	0	3	2	1	0	0	0	0	0	0	4	0	2	1	0
hsa-miR-3144-3p	13	1	12	4	15	0	15	1	2	3	2	4	0	55	10	0	0	0	2	0	1	9	6	42	1	12	1	0	21	2	1	1	2
hsa-miR-3144-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
hsa-miR-3145-3p	1	0	0	9	2	7	2	0	0	1	14	3	22	0	1	0	0	0	1	0	2	0	11	0	6	2	20	0	8	0	0	0	0
hsa-miR-3145-5p	1	10	0	1	1	1	3	7	4	2	9	7	1	24	8	4	5	5	0	1	2	6	2	26	3	29	16	2	0	1	20	3	5
hsa-miR-3146	0	0	0	0	4	0	2	0	0	0	0	0	2	0	0	0	0	4	1	0	0	1	0	0	0	1	5	0	0	0	0	0	0
hsa-miR-3147	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3149	10	5	16	14	5	0	7	3	6	3	4	22	0	34	4	36	40	5	7	0	4	0	19	124	4	12	69	0	5	6	2	12	5
hsa-miR-3150a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3150a-5p	0	1	1	0	1	0	9	0	0	0	0	8	3	6	0	0	0	0	1	5	1	0	0	0	1	15	0	0	1	0	0	10	0
hsa-miR-3150b-3p	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3150b-5p	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3151-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3151-5p	9	10	5	2	2	9	7	0	0	3	21	0	7	45	6	0	0	0	2	36	4	2	2	3	5	3	0	0	0	3	1	0	0
hsa-miR-3152-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3152-5p	1	1	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	1	0	0	0	0	0	0	23	2	0	0	1	0	0	0
hsa-miR-3153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3154	0	27	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-3155a	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	1	0	0	0	0	0	0
hsa-miR-3155b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3156-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3156-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3157-3p	15	4	0	0	4	0	0	7	2	0	7	1	2	38	2	1	10	0	1	1	1	6	17	42	0	21	3	0	0	0	3	0	1
hsa-miR-3157-5p	1	7	4	6	1	0	16	4	1	3	5	6	0	8	0	13	18	0	3	4	8	9	13	31	2	42	49	0	0	5	0	0	5
hsa-miR-3158-3p	29	93	65	17	7	20	83	18	18	6	19	24	11	45	23	14	15	12	23	13	24	15	36	148	12	55	141	2	38	6	4	8	14
hsa-miR-3158-5p	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	29	0	0	0	0	0	0
hsa-miR-3159	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3160-3p	0	7	3	0	0	0	0	0	0	1	0	0	0	9	1	0	0	5	0	1	0	1	0	0	0	0	28	2	0	7	4	0	0
hsa-miR-3160-5p	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
hsa-miR-3161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3162-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3162-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3163	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0
hsa-miR-3164	10	0	1	5	4	3	1	0	0	2	0	1	0	0	0	0	0	0	3	0	1	0	0	0	0	9	0	0	0	0	0	0	0
hsa-miR-3165	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
hsa-miR-3166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3167	10	11	0	6	13	10	7	1	5	5	5	4	1	8	9	10	12	11	3	1	0	14	19	2	0	37	56	0	3	9	2	3	0
hsa-miR-3168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3170	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3173-3p	4	0	1	0	0	0	6	0	0	0	0	0	0	10	4	0	9	0	0	2	1	0	18	0	1	0	0	0	0	7	0	0	0
hsa-miR-3173-5p	65	35	25	15	13	1	13	8	17	15	7	18	12	6	3	15	77	3	9	216	11	37	5	210	12	36	21	2	0	3	1	0	6
hsa-miR-3174	16	1	15	5	7	8	19	5	0	0	4	7	0	0	0	6	0	6	5	0	0	3	3	0	0	2	28	0	1	3	0	0	0
hsa-miR-3175	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3176	10	14	1	1	18	0	1	1	2	1	8	3	2	0	0	0	2	0	1	0	1	0	1	0	2	0	0	0	0	0	1	0	2
hsa-miR-3177-3p	36	189	46	20	19	17	46	5	11	1	35	12	11	5	11	20	28	17	29	97	17	14	35	311	35	114	40	0	7	4	17	0	11
hsa-miR-3177-5p	0	0	0	0	0	0	1	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3179	8	17	4	8	2	2	3	0	0	0	0	0	3	10	0	0	4	0	3	61	2	0	9	1	2	3	11	0	0	0	9	0	1
hsa-miR-3180	33	113	34	8	4	12	26	5	14	1	21	11	13	75	4	26	26	12	9	53	3	12	10	65	13	12	0	2	0	0	6	0	16
hsa-miR-3180-3p	33	113	34	8	4	12	26	5	14	1	21	11	13	75	4	26	26	12	9	53	3	12	10	65	13	12	0	2	0	0	6	0	16
hsa-miR-3180-5p	51	30	4	20	6	15	5	7	8	3	24	24	6	2	0	4	8	19	10	110	5	6	7	64	6	20	28	0	10	1	3	0	13
hsa-miR-3181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3183	4	0	0	0	1	0	3	0	0	0	0	11	1	0	0	0	0	0	0	0	1	2	11	0	0	0	0	0	0	0	0	0	0
hsa-miR-3184-3p	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3184-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3186-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3186-5p	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3187-3p	3	0	0	4	0	3	8	7	0	0	4	1	0	21	2	0	3	0	12	0	5	2	0	33	4	12	0	0	0	1	1	0	4
hsa-miR-3187-5p	0	0	2	0	0	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3188	2	27	0	0	0	0	1	6	0	3	1	8	1	0	1	0	0	0	1	0	0	0	0	69	0	24	1	0	0	0	0	0	0
hsa-miR-3189-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3189-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3190-3p	0	15	0	4	0	0	0	0	0	0	1	8	0	3	0	0	15	0	1	0	0	0	3	32	2	4	4	0	0	0	0	4	0
hsa-miR-3190-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3191-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3191-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3192-3p	0	0	0	5	0	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	14	0	0	0	0	0	1
hsa-miR-3192-5p	3	1	17	0	8	0	4	0	3	2	6	1	0	1	1	0	0	0	3	0	0	0	0	91	1	0	0	6	0	12	6	0	2
hsa-miR-3193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3194-3p	30	22	28	14	2	1	16	0	10	3	28	15	1	0	0	0	0	0	5	68	45	5	0	0	6	31	67	0	1	0	3	0	5
hsa-miR-3194-5p	8	0	36	1	9	0	16	0	4	0	27	3	0	18	0	0	0	0	7	0	11	11	0	2	9	0	0	5	0	0	0	3	1
hsa-miR-3195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3196	0	2	21	0	0	0	0	8	2	0	4	0	0	45	1	0	0	0	0	0	1	0	0	1	0	4	0	1	0	0	0	0	3
hsa-miR-3197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-3198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3199	21	0	5	13	1	1	8	8	8	3	0	5	1	48	4	0	0	1	13	9	1	15	17	98	3	21	3	11	0	2	7	12	0
hsa-miR-32-3p	219	178	189	179	133	9	147	90	80	40	216	216	134	697	142	122	160	26	114	117	104	185	182	531	104	770	1055	40	99	51	178	61	98
hsa-miR-32-5p	1017	419	813	370	475	146	728	358	385	226	1466	621	377	3692	656	337	348	71	254	240	553	282	416	2465	315	2640	8834	228	193	261	378	194	262
hsa-miR-3200-3p	2568	2532	2341	1059	538	230	1428	684	723	253	1769	1400	1027	1230	647	725	733	242	1083	1365	699	766	736	5104	709	4068	3224	415	523	334	839	252	602
hsa-miR-3200-5p	264	245	140	134	63	10	172	59	94	31	244	198	155	206	68	8	33	22	142	227	91	113	114	853	94	537	408	14	95	48	46	23	35
hsa-miR-3201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3202	0	0	0	0	0	0	0	0	0	1	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-320a-3p	20893	30109	21873	8479	17438	13578	10132	9114	7378	3662	18009	11654	9784	33114	5281	7017	20046	4602	6630	27474	9388	9857	11659	55779	6277	29471	27115	2587	6089	6938	5120	2304	5170
hsa-miR-320a-5p	12	1	2	0	0	29	2	1	6	2	0	1	0	8	0	0	0	0	0	0	2	2	2	0	4	4	9	6	0	0	0	0	4
hsa-miR-320b	1464	1599	1046	223	861	1160	840	338	339	121	615	497	733	1841	236	205	1544	792	473	1329	222	458	454	2525	220	1270	5087	237	133	1320	241	82	244
hsa-miR-320c	1092	1192	641	124	643	579	655	171	203	61	407	308	491	1182	154	142	1275	712	347	817	115	305	323	1486	153	879	4290	172	60	1146	102	60	157
hsa-miR-320d	522	631	362	55	342	275	390	60	85	30	184	148	288	892	63	48	847	452	179	259	67	164	130	647	81	515	2845	82	43	698	58	19	86
hsa-miR-320e	60	41	9	2	9	8	20	4	5	4	36	18	29	62	6	1	18	6	11	17	5	6	22	43	4	27	12	3	2	5	1	0	11
hsa-miR-323a-3p	22151	34787	24492	12434	5321	1908	23950	10321	13717	5365	18817	17203	15368	25732	7468	13655	24265	8656	20308	37681	13087	12497	10101	45530	13823	70383	34183	3146	5820	1429	7633	2612	7028
hsa-miR-323a-5p	272	263	125	106	16	18	112	82	60	17	114	136	168	118	42	59	78	15	111	261	52	58	11	449	66	283	227	30	34	10	18	13	46
hsa-miR-323b-3p	5226	4919	4181	1037	1284	206	1934	1771	1232	441	2107	2752	2415	4779	1703	1354	3576	1073	4005	6817	1122	2425	1606	7730	2243	17976	10280	595	318	92	573	147	1066
hsa-miR-323b-5p	5	8	21	0	6	0	11	5	0	0	1	5	0	8	0	0	0	0	6	8	0	1	0	0	7	6	34	3	0	2	3	0	2
hsa-miR-324-3p	1581	1298	985	563	406	341	1002	483	762	224	1406	1014	606	2334	280	235	287	74	591	463	684	448	378	4161	345	2247	3029	197	67	129	363	81	385
hsa-miR-324-5p	4437	3352	2417	1849	951	603	3278	1477	1120	552	3924	2906	1271	3524	1423	1001	1115	354	1753	947	1345	1231	1135	8527	1506	7643	7670	561	330	214	723	367	880
hsa-miR-325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-326	2348	1540	1546	834	617	355	1274	510	997	345	2549	1353	499	2601	516	269	152	51	698	605	1292	587	1148	10959	275	2529	5839	554	97	79	350	148	888
hsa-miR-328-3p	21697	19778	12442	6334	3998	1213	12936	5995	5913	3211	12575	8309	11356	17030	3452	4886	3936	1840	9888	21846	7439	8886	6350	44488	6368	36759	17260	1941	967	570	2106	725	3259
hsa-miR-328-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-329-3p	28868	38403	26089	17615	8306	2184	24158	10593	14243	5378	26840	21591	14807	43413	11832	19101	26904	7099	25915	31843	11866	18146	12185	66890	18783	92991	43382	3316	8767	2104	11624	3603	7347
hsa-miR-329-5p	167	132	114	43	51	18	63	32	39	23	105	54	73	172	40	22	64	8	58	206	27	56	27	202	21	128	54	27	8	14	56	2	44
hsa-miR-330-3p	12553	11844	9735	6169	3722	1443	9664	4304	7236	2585	10129	7898	6137	14554	4590	4712	6814	2479	7018	8807	4808	5518	6163	32124	4497	29145	25408	2213	2015	1831	2801	1119	3549
hsa-miR-330-5p	1260	786	835	593	329	276	868	355	1319	483	1240	757	332	2160	476	332	580	191	651	939	932	558	349	3622	382	2518	2951	302	115	129	292	95	633
hsa-miR-331-3p	5660	4152	4279	1462	1053	819	3770	1426	1691	886	3691	2299	2036	4309	1226	987	944	451	2285	2308	2637	1494	1570	7281	1192	6824	5195	1121	397	186	1011	310	1353
hsa-miR-331-5p	551	516	461	314	96	191	435	188	180	93	370	318	403	739	203	231	336	86	268	239	203	216	238	1374	186	1011	1072	62	90	75	89	51	115
hsa-miR-335-3p	2684	3583	2953	1364	800	377	3042	927	831	493	2976	1268	1527	3995	1023	1415	1729	705	1204	2521	1167	1797	1953	8857	816	4740	5727	499	917	202	1438	357	1274
hsa-miR-335-5p	79173	81601	64441	54120	24939	10805	103212	32646	37302	21619	96205	52762	52647	191119	43522	39605	29796	12693	42726	39192	47918	41314	44749	197084	31910	161262	256648	20382	34483	8110	62246	13948	38904
hsa-miR-337-3p	542	489	390	236	186	130	444	133	211	75	687	408	197	822	215	327	236	54	375	274	158	383	254	1252	248	1548	1513	76	109	41	234	67	123
hsa-miR-337-5p	174	76	93	44	11	69	173	72	43	39	170	81	74	322	58	22	33	5	82	59	80	36	48	368	26	344	325	12	0	16	46	23	33
hsa-miR-338-3p	85331	27282	55444	13384	15341	7561	38343	12551	12874	9062	51002	37581	17140	137295	28916	29915	34061	7504	6250	9802	7091	20257	23676	161677	11804	214037	367913	6589	6290	25563	14504	8958	6095
hsa-miR-338-5p	29642	18202	24771	5386	7057	1858	15229	5507	8637	3934	13841	14375	7466	32063	9018	10045	19476	6167	4603	16760	3381	10890	12636	61846	5111	64890	57584	2461	3398	19612	5521	4028	2449
hsa-miR-339-3p	8930	8663	7156	4269	2110	3177	7993	2838	2500	918	7855	5081	4430	10786	3255	1595	4817	1744	3846	3106	2503	2600	3502	24586	3179	18403	16054	843	2301	626	3391	936	1618
hsa-miR-339-5p	4518	3121	5486	1099	1145	320	2109	1019	820	508	3583	1621	973	7300	1747	775	739	216	640	735	1291	1148	1167	6066	811	5651	4140	496	506	377	1955	690	726
hsa-miR-33a-3p	104	47	45	54	40	70	105	26	35	20	166	66	34	168	67	35	34	8	32	6	44	28	13	361	24	277	616	26	9	19	13	3	51
hsa-miR-33a-5p	926	607	577	299	98	380	792	207	201	154	862	649	539	933	305	42	74	60	190	362	349	177	118	1578	246	1699	2133	180	57	133	131	97	261
hsa-miR-33b-3p	16	5	14	4	9	0	18	4	1	2	3	1	9	27	9	0	0	0	0	0	0	2	0	114	1	29	0	0	0	6	1	0	0
hsa-miR-33b-5p	486	95	148	4	33	39	153	16	36	26	146	81	12	165	94	24	19	2	6	60	26	28	56	350	14	316	835	35	7	83	56	31	36
hsa-miR-340-3p	6877	6534	7394	4213	2696	1001	5529	2290	2262	1186	5779	3758	3011	15466	4364	6477	13313	3148	3932	3247	2220	4679	4162	18690	3350	21709	18577	704	2573	458	2652	658	1684
hsa-miR-340-5p	59002	37727	40713	26033	21869	15234	35467	14737	13219	7137	53561	37854	18358	117087	30745	39141	47357	14108	20118	20123	15116	27422	41023	160157	16078	135127	220499	8528	21246	16250	25938	10443	19466
hsa-miR-342-3p	23985	23872	19021	15715	8237	4583	21224	9218	10974	4292	27237	17919	12565	32749	10913	11130	11035	3641	12940	12168	9537	13454	12614	67601	9870	58219	69168	4803	5625	1705	8990	2952	5856
hsa-miR-342-5p	781	996	627	382	292	285	587	260	297	95	649	726	396	1155	217	181	421	88	417	1078	180	364	369	1328	266	1308	1012	77	176	164	228	126	151
hsa-miR-345-3p	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-345-5p	2030	1618	1836	479	571	424	1296	734	618	393	1097	888	1118	2373	542	195	476	190	697	1065	1226	544	508	2492	458	2337	1369	270	151	220	458	146	381
hsa-miR-346	1484	1999	1440	780	316	93	1044	422	843	280	775	785	903	859	296	562	789	271	1202	3147	657	687	457	2965	470	2805	1490	123	140	65	245	81	303
hsa-miR-34a-3p	65	47	53	27	27	3	67	18	17	10	122	53	6	59	60	22	9	0	48	24	38	34	31	214	42	203	266	23	6	7	47	26	11
hsa-miR-34a-5p	12442	10168	8134	7332	3751	1131	12230	5025	3095	1913	13891	7961	4275	9137	5837	4419	3130	1873	6782	2233	5472	5678	3901	28270	4865	28251	28569	1436	1339	527	3260	1035	1335
hsa-miR-34b-3p	667	714	813	689	3086	50	250	2338	198	64	648	344	912	9432	981	182	206	22	461	163	5380	104	60	1136	345	987	926	796	1438	67	109	26	91
hsa-miR-34b-5p	950	530	818	550	3376	84	276	3152	47	60	944	517	796	5883	1310	55	82	17	149	62	7358	36	31	818	160	1117	731	621	1038	25	83	17	121
hsa-miR-34c-3p	468	302	220	237	1155	14	84	797	149	28	274	146	375	3926	445	35	80	13	131	27	3451	50	22	646	71	476	483	503	630	54	48	35	35
